n = 1000
time elapsed = 0.02
i              x              V
714       0.714286       0.284954
715       0.715285       0.283963
716       0.716284       0.282972
717       0.717283        0.28198
718       0.718282       0.280989
719       0.719281       0.279998
720        0.72028       0.279006
721       0.721279       0.278015
722       0.722278       0.277023
723       0.723277       0.276031
724       0.724276        0.27504
725       0.725275       0.274048
726       0.726274       0.273056
727       0.727273       0.272064
728       0.728272       0.271072
729       0.729271        0.27008
730        0.73027       0.269087
731       0.731269       0.268095
732       0.732268       0.267103
733       0.733267       0.266111
734       0.734266       0.265118
735       0.735265       0.264126
736       0.736264       0.263133
737       0.737263        0.26214
738       0.738262       0.261148
739       0.739261       0.260155
740        0.74026       0.259162
741       0.741259       0.258169
742       0.742258       0.257176
743       0.743257       0.256183
744       0.744256        0.25519
745       0.745255       0.254197
746       0.746254       0.253204
747       0.747253       0.252211
748       0.748252       0.251217
749       0.749251       0.250224
750        0.75025       0.249231
751       0.751249       0.248237
752       0.752248       0.247244
753       0.753247        0.24625
754       0.754246       0.245256
755       0.755245       0.244263
756       0.756244       0.243269
757       0.757243       0.242275
758       0.758242       0.241281
759       0.759241       0.240287
760        0.76024       0.239294
761       0.761239         0.2383
762       0.762238       0.237305
763       0.763237       0.236311
764       0.764236       0.235317
765       0.765235       0.234323
766       0.766234       0.233329
767       0.767233       0.232335
768       0.768232        0.23134
769       0.769231       0.230346
770        0.77023       0.229352
771       0.771229       0.228357
772       0.772228       0.227363
773       0.773227       0.226368
774       0.774226       0.225373
775       0.775225       0.224379
776       0.776224       0.223384
777       0.777223       0.222389
778       0.778222       0.221395
779       0.779221         0.2204
780        0.78022       0.219405
781       0.781219        0.21841
782       0.782218       0.217415
783       0.783217        0.21642
784       0.784216       0.215425
785       0.785215        0.21443
786       0.786214       0.213435
787       0.787213        0.21244
788       0.788212       0.211445
789       0.789211        0.21045
790        0.79021       0.209454
791       0.791209       0.208459
792       0.792208       0.207464
793       0.793207       0.206468
794       0.794206       0.205473
795       0.795205       0.204478
796       0.796204       0.203482
797       0.797203       0.202487
798       0.798202       0.201491
799       0.799201       0.200496
800         0.8002         0.1995
801       0.801199       0.198504
802       0.802198       0.197509
803       0.803197       0.196513
804       0.804196       0.195517
805       0.805195       0.194522
806       0.806194       0.193526
807       0.807193        0.19253
808       0.808192       0.191534
809       0.809191       0.190538
810        0.81019       0.189542
811       0.811189       0.188546
812       0.812188       0.187551
813       0.813187       0.186555
814       0.814186       0.185559
815       0.815185       0.184562
816       0.816184       0.183566
817       0.817183        0.18257
818       0.818182       0.181574
819       0.819181       0.180578
820        0.82018       0.179582
821       0.821179       0.178586
822       0.822178       0.177589
823       0.823177       0.176593
824       0.824176       0.175597
825       0.825175         0.1746
826       0.826174       0.173604
827       0.827173       0.172608
828       0.828172       0.171611
829       0.829171       0.170615
830        0.83017       0.169618
831       0.831169       0.168622
832       0.832168       0.167625
833       0.833167       0.166629
834       0.834166       0.165632
835       0.835165       0.164636
836       0.836164       0.163639
837       0.837163       0.162642
838       0.838162       0.161646
839       0.839161       0.160649
840        0.84016       0.159652
841       0.841159       0.158656
842       0.842158       0.157659
843       0.843157       0.156662
844       0.844156       0.155665
845       0.845155       0.154669
846       0.846154       0.153672
847       0.847153       0.152675
848       0.848152       0.151678
849       0.849151       0.150681
850        0.85015       0.149684
851       0.851149       0.148687
852       0.852148        0.14769
853       0.853147       0.146693
854       0.854146       0.145697
855       0.855145         0.1447
856       0.856144       0.143702
857       0.857143       0.142705
858       0.858142       0.141708
859       0.859141       0.140711
860        0.86014       0.139714
861       0.861139       0.138717
862       0.862138        0.13772
863       0.863137       0.136723
864       0.864136       0.135726
865       0.865135       0.134728
866       0.866134       0.133731
867       0.867133       0.132734
868       0.868132       0.131737
869       0.869131       0.130739
870        0.87013       0.129742
871       0.871129       0.128745
872       0.872128       0.127748
873       0.873127        0.12675
874       0.874126       0.125753
875       0.875125       0.124756
876       0.876124       0.123758
877       0.877123       0.122761
878       0.878122       0.121763
879       0.879121       0.120766
880        0.88012       0.119769
881       0.881119       0.118771
882       0.882118       0.117774
883       0.883117       0.116776
884       0.884116       0.115779
885       0.885115       0.114781
886       0.886114       0.113784
887       0.887113       0.112786
888       0.888112       0.111789
889       0.889111       0.110791
890        0.89011       0.109793
891       0.891109       0.108796
892       0.892108       0.107798
893       0.893107       0.106801
894       0.894106       0.105803
895       0.895105       0.104805
896       0.896104       0.103808
897       0.897103        0.10281
898       0.898102       0.101812
